nr,kolumna2,kolumna3,kolumna4,kolumna5,kolumna6
0,0.91074412114000836,0.24232493278693118,0.29328854635116136,0.29680405209346533,0
1,0.91459808780750218,-0.0086111191187818268,0.041802729185747609,0.039715865138720351,0
2,0.9184333549763668,0.088224234532926507,0.14170480061265728,0.14792425385675464,0
3,0.90677234763115,0.33593836282481521,0.38859241106513193,0.38934787080975469,0
4,0.89854456823426831,0.22314672699274521,0.27771560389269989,0.27401684306382901,0
5,0.90303431785515764,-0.027852903208307342,0.027097443463684572,0.030500752214212893,0
6,0.90057346383554482,0.07000344306855949,0.12353262784472639,0.13535071097842913,0
7,0.89835570329811265,0.32431849437658278,0.37586553229804637,0.3739806228362153,0
8,0.89636607664395762,0.23376804221417427,0.28757397957005443,0.30322919982248475,0
9,0.90328676108665285,-0.028615842752381822,0.024056904986564213,0.031589063034436787,0
10,0.90812806128177259,0.070994516495911153,0.12988297757922868,0.12870864906531013,0
11,0.90035280975171939,0.31845433160644165,0.36903273549890875,0.3746313653885141,1
12,0.89817244821154574,0.22686044742051953,0.28343391057353262,0.28535995893234811,1
13,0.90487995836986723,-0.015754327595165447,0.042311355548463929,0.041488577608775765,1
14,0.90972499846471278,0.071918271728197411,0.12922101532775229,0.12231342053409756,1
15,0.91207178554268697,0.3207955088348271,0.37902574756639407,0.38512178411953824,1
16,0.90277439482421074,0.23946390949665189,0.29042378316115619,0.31082493616569684,1
17,0.90124103593660998,-0.031241252359932241,0.021188401896833197,0.021057505406428263,1
18,0.90446295955043432,0.075972323031024552,0.12740342406098662,0.12168137748042802,1
19,0.90454710729426613,0.30322172002303305,0.356257238035387,0.35778685702326185,1
20,0.89328252931998997,0.21841575383953826,0.27841870504116067,0.2706097944135748,1
21,0.89540118251468692,-0.025904415451136729,0.026480360008918447,0.029543337884393936,1
22,0.90038459889938915,0.06434497478334042,0.12151308199276453,0.121139092020179,1
23,0.91257480205581454,0.33169731653569529,0.38624001413756898,0.37726425479551623,1
24,0.89915230193971984,0.22126181753091415,0.27294349184250855,0.27116329957300139,1
25,0.89795927392717201,-0.0355870158413761,0.021345477685319119,0.016880037412647892,1
26,0.89777601884060509,0.065702558383825896,0.12234333973190441,0.11799757625046055,1
27,0.90691072392100669,0.31786716734948239,0.37164692540728156,0.38137814449395707,1
28,0.91232796867390809,0.23949756859418458,0.29202820014354813,0.29928734551143327,1
29,0.91201007719721039,-0.034839035896205038,0.016865077813744474,0.02027212646399865,1
30,0.91008776873812069,0.080692076485053943,0.13368271570069767,0.12552225449888141,1
31,0.91120412880628854,0.31601965688490985,0.37246222354751801,0.36688229315654192,1
32,0.90180950069494004,0.23908243972461465,0.29296317507501196,0.27928636177755911,1
33,0.89863432582768887,-0.019116497448709361,0.032819490044243178,0.03673890495693953,1
34,0.8949580043971731,0.05748225878639595,0.11192397909567155,0.12013305899392393,1
35,0.89277016305754775,0.30163974243899622,0.35740912715095047,0.3492075270521498,1
36,0.90722300554811552,0.22271663852427184,0.27439083303641454,0.28737576488458411,1
37,0.90016207486570077,-0.023529579125218615,0.029363822697552881,0.023866170100545592,1
38,0.90969320931704301,0.077902111289565881,0.12836831819025729,0.12081746064375544,1
39,0.91063753399782144,0.304437187433936,0.36180350932883043,0.36693839165242975,1
40,0.89702055909598233,0.2245529292896668,0.2759503712220962,0.26777869032110235,1
41,0.90376172835183655,-0.024273819170663818,0.030758805295296909,0.024374796463261912,1
42,0.9066807200878666,0.07274478956761142,0.13002509376881119,0.13089275050520963,1
43,0.90760634527001571,0.30887270850880039,0.36157537544555324,0.36292173934686117,1
44,0.90104656115086557,0.20928665860872547,0.26715412706688452,0.26106931021291796,1
45,0.90604493713447121,-0.027972579999534709,0.025541645177728767,0.0270114257699899,1
46,0.91222138153172116,0.072632592575835764,0.13196236182680424,0.14261359624604011,1
47,0.91306098902017574,0.32836880577968408,0.37861061869682416,0.37483705987343613,1
48,0.90808692238478816,0.23434024687223012,0.29298935437309293,0.29546890789133501,1
49,0.90621697252186051,-0.026577597401790685,0.027392895542027139,0.025392049188694553,1
